Timestamp,Classification,Accuracy
2023-01-31 01:46:06,Synthesizer,19.92
2023-01-31 01:46:07,Hum,10.94
2023-01-31 01:46:11,"Inside, small room",5.86
2023-01-31 01:46:12,"Inside, small room",5.86
2023-01-31 01:46:15,Vehicle,5.86
2023-01-31 01:46:16,Speech,5.86
2023-01-31 01:46:18,Speech,5.86
2023-01-31 01:46:19,Synthesizer,4.3
2023-01-31 01:46:21,Speech,5.86
2023-01-31 01:46:23,Speech,4.3
2023-01-31 01:46:24,Speech,5.86
2023-01-31 01:46:26,Vehicle,5.86
2023-01-31 01:46:27,Speech,5.86
2023-01-31 01:46:29,Speech,8.2
2023-01-31 01:46:30,Speech,3.12
2023-01-31 01:46:32,Speech,4.3
2023-01-31 01:46:33,Speech,8.2
2023-01-31 01:46:34,"Inside, small room",4.3
2023-01-31 01:46:35,Speech,5.86
2023-01-31 01:46:38,Speech,5.86
2023-01-31 01:46:39,Aircraft,14.84
2023-01-31 01:46:40,Microwave oven,14.84
2023-01-31 01:46:43,"Inside, small room",8.2
2023-01-31 01:46:44,Cacophony,10.94
2023-01-31 01:46:47,Speech,3.12
2023-01-31 01:46:48,Synthesizer,19.92
2023-01-31 01:46:49,Speech,4.3
2023-01-31 01:46:52,Synthesizer,41.41
2023-01-31 01:46:53,Synthesizer,41.41
2023-01-31 01:46:56,Synthesizer,33.2
2023-01-31 01:46:57,Cacophony,33.2
2023-01-31 01:47:01,Speech,3.12
2023-01-31 01:47:02,Synthesizer,19.92
2023-01-31 01:47:03,"Inside, small room",5.86
2023-01-31 01:47:06,Synthesizer,5.86
2023-01-31 01:47:07,Noise,14.84
2023-01-31 01:47:10,Synthesizer,19.92
2023-01-31 01:47:11,Speech,4.3
2023-01-31 01:47:14,"Inside, small room",10.94
2023-01-31 01:47:15,Synthesizer,26.17
2023-01-31 01:47:18,Synthesizer,50.0
2023-01-31 01:47:19,Cacophony,8.2
2023-01-31 01:47:22,Speech,4.3
2023-01-31 01:47:23,Synthesizer,4.3
2023-01-31 01:47:25,White noise,8.2
2023-01-31 01:47:28,Synthesizer,10.94
2023-01-31 01:47:29,Synthesizer,26.17
2023-01-31 01:47:32,Synthesizer,19.92
2023-01-31 01:47:33,Vehicle,14.84
2023-01-31 01:47:36,Synthesizer,26.17
2023-01-31 01:47:37,Synthesizer,26.17
2023-01-31 01:47:41,Synthesizer,19.92
2023-01-31 01:47:42,Synthesizer,26.17
2023-01-31 01:47:45,Synthesizer,33.2
2023-01-31 01:47:46,Noise,10.94
2023-01-31 01:47:49,Synthesizer,33.2
2023-01-31 01:47:50,Synthesizer,41.41
2023-01-31 01:47:54,Synthesizer,26.17
2023-01-31 01:47:55,Noise,14.84
2023-01-31 01:47:58,Synthesizer,33.2
2023-01-31 01:47:59,Aircraft,14.84
2023-01-31 01:48:02,Synthesizer,14.84
2023-01-31 01:48:03,Speech,5.86
2023-01-31 01:48:06,"Inside, small room",5.86
2023-01-31 01:48:07,Synthesizer,14.84
2023-01-31 01:48:10,Synthesizer,33.2
2023-01-31 01:48:11,Noise,26.17
2023-01-31 01:48:14,Speech,5.86
2023-01-31 01:48:15,"Inside, small room",5.86
2023-01-31 01:48:17,Speech,8.2
2023-01-31 01:48:19,"Inside, small room",4.3
2023-01-31 01:48:20,Noise,41.41
2023-01-31 01:48:23,Synthesizer,33.2
2023-01-31 01:48:24,Synthesizer,19.92
2023-01-31 01:48:28,Synthesizer,10.94
2023-01-31 01:48:29,Synthesizer,14.84
2023-01-31 01:48:32,"Inside, small room",8.2
2023-01-31 01:48:33,Noise,14.84
2023-01-31 01:48:36,Synthesizer,33.2
2023-01-31 01:48:37,Speech,3.12
2023-01-31 01:48:40,Cat,8.2
2023-01-31 01:48:41,Synthesizer,10.94
2023-01-31 01:48:44,Synthesizer,14.84
2023-01-31 01:48:45,Synthesizer,5.86
2023-01-31 01:48:48,White noise,5.86
2023-01-31 01:48:50,"Inside, small room",4.3
2023-01-31 01:48:53,Synthesizer,58.59
2023-01-31 01:48:54,Synthesizer,26.17
2023-01-31 01:48:57,Synthesizer,41.41
2023-01-31 01:48:58,Synthesizer,14.84
2023-01-31 01:49:02,Synthesizer,19.92
2023-01-31 01:49:03,Synthesizer,10.94
2023-01-31 01:49:06,Noise,14.84
2023-01-31 01:49:07,Synthesizer,8.2
2023-01-31 01:49:10,Synthesizer,26.17
2023-01-31 01:49:11,Noise,26.17
2023-01-31 01:49:15,Sound effect,4.3
2023-01-31 01:49:16,Speech,5.86
2023-01-31 01:49:18,Vehicle,10.94
2023-01-31 01:49:19,Synthesizer,41.41
2023-01-31 01:49:22,Speech,4.3
